address,avg_chads,most_common_chadvolution,opt_in?,whitelists,latest_snapshot_chads,latest_snapshot_chadvolution,all_chads_snaphsots,all_chadvolution_snapshots
0xf1c1cdf8a84a5e042eb2213623adaec37fe21eb6,1955060.6295965617,CHAD MACHINA,Yes,3,1954588.257314653,CHAD MACHINA,[1915658.5884287425, 1923449.8123286571, 1930700.7817976684, 1935554.361500881, 1939124.5907804172, 1932127.2561389862, 1933939.9320607032, 1950221.0280916588, 1954322.3248257674, 1955125.618766136, 1962374.1916857262, 1995058.5666299954, 1989105.904474569, 1989193.3457498774, 1988856.4746805981, 1985545.5882058826, 1956144.7092771903, 1954588.257314653],['CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0x54190d499849834c09671e5de5a73ceeb10cc4ca,516941.9599720841,CHADES,Yes,2,518334.6414268922,CHADES,[501834.7414801078, 504432.019087586, 506849.19781024795, 508467.184155038, 509657.35359188396, 507316.6229923923, 507923.5587950185, 513374.9359379461, 518245.599614921, 518514.5654276187, 520941.595196227, 531885.2598096714, 529892.1380719236, 529921.4159146842, 529808.6218347466, 528700.0422393203, 518855.7861112861, 518334.6414268922],['CHADES', 'THETA CHAD', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0x9ee7c12413859c75b76e33fbb0f2ff8d7362ba02,507122.8648702436,CHADES,Yes,2,506458.22068614024,CHADES,[481221.816, 512658.22068614024, 512658.22068614024, 512658.22068614024, 512658.22068614024, 512658.22068614024, 512658.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024, 506458.22068614024],['CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0xf1b161020396c2b7ffeb5c3d28a4e198cb60ed9f,473521.84102059685,CHADES,Yes,2,474266.4458320082,CHADES,[459926.3307780631, 470032.406808763, 479437.7133037932, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320082, 474266.4458320078, 474266.4458320082, 474266.44583200826, 474266.4458320078, 474266.4458320082, 474266.4458320082],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0x8454e1ee9a5324a291516b95364a929d723b2308,436902.59093304496,CHADES,Yes,2,504179.3303980578,CHADES,[343606.1548383856, 506645.31916384475, 506645.3191638445, 506645.3191638445, 506645.3191638445, 506645.31916384475, 506645.3191638445, 326645.31916384463, 326645.3191638445, 326645.3191638445, 326645.31916384463, 326645.31916384463, 326645.3191638444, 504179.3303980579, 504179.3303980582, 504179.3303980578, 504179.3303980578, 504179.3303980578],['THETA CHAD', 'CHADES', 'THETA CHAD', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0x444e01dcb3a1ec1b1aa1344505ed7c8690d53281,537800.8776519255,THETA CHAD,Yes,1,288005.9801151119,THETA CHAD,[822704.6359922402, 822708.2172139004, 822711.5501086107, 822713.7810475474, 822715.4220968349, 822712.2057849042, 822713.0389780401, 822720.5225537284, 382722.40770718944, 382722.7769397639, 382726.10873290454, 382741.13204541727, 382738.39591526345, 160516.43610748384, 160516.28126531967, 288020.2095950189, 288006.69553537876, 288005.9801151119],['CHAD MACHINA', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'GIGA CHAD', 'GIGA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x7f714a66b41eff3fb5827fd925102a3ab4eebf00,470735.6861133559,THETA CHAD,Yes,1,470735.68611335615,THETA CHAD,[470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615, 470735.68611335615],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'THETA CHAD', 'THETA CHAD']
0x0bf572ea9b3314fdcd60f15bbc7533ba38d2c3e7,435624.3867521386,THETA CHAD,Yes,1,435494.11517497065,THETA CHAD,[424758.0293405016, 426906.7054258338, 428906.3892872753, 430244.9171964347, 431229.5206901394, 429299.78464375617, 429799.68728466117, 434289.7137726808, 435420.7758913714, 435642.3095684077, 437641.33250564866, 446655.08127078734, 445013.4466596238, 445037.56135322526, 444944.65851540404, 444031.5769917749, 435923.3559659982, 435494.11517497065],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x21b314ea7cbc83ec77061698d93219b024e15f40,425086.4637391158,THETA CHAD,Yes,1,425086.4637391159,THETA CHAD,[425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159, 425086.4637391159],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x886402411ee3c7a89f31f307b1fb7f31f17085b7,423772.3370415651,THETA CHAD,Yes,1,478545.149115997,CHADES,[388625.3445544486, 395885.4456089894, 402642.12103824783, 407164.8352580217, 410491.68424738245, 403971.3535186274, 405660.46045995643, 420831.68438854953, 417090.0970965472, 409035.7691788731, 415653.83843516186, 445495.22368149937, 440060.3427965429, 440140.1781547947, 439832.60919030115, 436809.71403115103, 469966.215993081, 478545.149115997],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'CHADES']
0xdc062f6b1f3fc0a8f1494cf1811e12ac5a104792,378986.6951699072,THETA CHAD,Yes,1,372610.8996662972,THETA CHAD,[378142.862598484, 378476.6966803196, 378787.38223706896, 378995.3457540532, 379148.3209770461, 378848.5030260636, 378926.17156822904, 379623.7750275302, 379799.50513709383, 379833.9242345901, 380144.50710530643, 381544.9492489351, 381089.89285077975, 381093.63948651147, 381079.20541998296, 380937.34237503057, 372677.58966500725, 372610.8996662972],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x1d649f503037c37d46508f29a5bf9e46b83764ca,375880.5555555556,THETA CHAD,No,0,354300.00000000006,THETA CHAD,[377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 377150.00000000006, 354300.00000000006],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x5c50e34946b0f6ee2f3b2b8f2845c93a4919e549,351386.12653046387,THETA CHAD,Yes,1,351386.1265304639,THETA CHAD,[351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639, 351386.1265304639],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x1e5a689f9d4524ff6f604cda19c01faa4ca664ea,350000.0,THETA CHAD,Yes,1,350000.0,THETA CHAD,[350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0, 350000.0],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x90be065623281f53b0d214ad7f3813a2520a34a7,348556.28607623954,THETA CHAD,Yes,1,348138.37541171524,THETA CHAD,[313697.0577965212, 320590.0015236945, 327004.9788314173, 331298.9706611166, 334457.57447395514, 328266.98945892183, 329870.675001078, 344274.660844599, 347903.1033023955, 348613.7823944695, 355026.6394601732, 383942.7070950829, 378676.35025676, 378753.710091091, 378455.67818317935, 375526.51654561906, 349515.3780405236, 348138.37541171524],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x6152128f7811f1400a6d4b364f1ddef0a60f1854,346883.7680122965,THETA CHAD,Yes,1,346883.76801229664,THETA CHAD,[346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664, 346883.76801229664],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x4817c82e4c834f66ba309808cd7c250866ad882c,343130.5345679804,THETA CHAD,No,0,343130.53456798044,THETA CHAD,[343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044, 343130.53456798044],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x5e1dd88ffb9a3e7abd2e92998f6e9e13bc266ac8,337492.01378112746,THETA CHAD,Yes,1,337492.0137811274,THETA CHAD,[337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274, 337492.0137811274],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0xeb4a6be50ea7a449cd3432db31926fd2d3e2145f,322892.51947161916,THETA CHAD,Yes,1,322754.1653970246,THETA CHAD,[311351.975812104, 313633.9631638523, 315757.7143008689, 317179.2890926745, 318224.9807790388, 316175.5172604933, 316706.4355833798, 321475.03878263384, 322676.2758916206, 322911.5542811528, 325034.6034879547, 334607.5962783982, 332864.10900060873, 332889.719852875, 332791.0530029498, 331821.32075607416, 323210.03776544065, 322754.1653970246],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x4fe6cfac9a42456adb9807557a676c3166d23b9b,319727.8023402574,THETA CHAD,Yes,1,319597.4391023698,THETA CHAD,[308853.7992229233, 311003.98714376433, 313005.0780079126, 314344.54772213823, 315329.8439952405, 313398.7501623125, 313899.0045410009, 318392.1902681105, 319524.0482163285, 319745.73776724533, 321746.1672421585, 330766.25819425785, 329123.4685083417, 329147.6001693447, 329054.6319639189, 328140.9079846494, 320026.98191261466, 319597.4391023698],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x7eeab8631b7c2459d0e29658d79a292ae21884d9,317563.3883409801,THETA CHAD,Yes,1,317563.3883409802,THETA CHAD,[317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802, 317563.3883409802],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x1b998d5adabc0f3adbd5fa321ce6671a27963e3e,313701.34645018197,THETA CHAD,Yes,1,313555.1158391293,THETA CHAD,[301503.7963877205, 303915.6979225243, 306160.35481029673, 307662.8602556348, 308768.0834644055, 306601.94341015967, 307163.08706279396, 312203.16818609176, 313472.7920622314, 313721.4649167868, 315965.37991325965, 326083.3658811688, 324240.6213812969, 324267.6902666006, 324163.40628510236, 323138.46690811764, 314036.9411499552, 313555.1158391293],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
0x23b4cd421b7cb7d274689b2a7c100baf8546941b,310334.19772030436,THETA CHAD,Yes,1,310334.1977203044,THETA CHAD,[310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044, 310334.1977203044],['THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD', 'THETA CHAD']
